,id, nickname, score, useful_num, time, content
0,1219142673,  俏皮面,20,16368,-1,  首映礼看的。太恐怖了这个电影，不讲道理的，完全就是吴京在实现他这个小粉红的英雄梦。各种装备轮番上场，视物理逻辑于不顾，不得不说有钱真好，随意胡闹
1,1220719234,  Criminal001,20,14836,-1,  吴京的炒作水平不输冯小刚，但小刚至少不会用主旋律来炒作…吴京让人看了不舒服，为了主旋律而主旋律，为了煽情而煽情，让人觉得他是个大做作、大谎言家。（7.29更新）片子整体不如湄公河行动，1.整体不够流畅，编剧有毒，台词尴尬；2.刻意做作的主旋律煽情显得如此不合时宜而又多余。
2,1219157745,  谢谢你们的鱼,40,27067,1,  凭良心说，好看到不像《战狼1》的续集，完虐《湄公河行动》。PS：我也是醉了，那些说吴京角色打不死的，我想问你们哪部商业动作片没有个人英雄主义的，真为你们感到丢人。
3,1221063421,  SELVEN,10,8765,-1,  15/100吴京的冷峰在这部里即像成龙，又像杰森斯坦森，但体制外的同类型电影，主角总是代表个人，无能的政府需要求助于这些英雄才能解决难题，体现的是个人的价值，所以主旋律照抄这种模式实际上是有问题的。我们以前嘲笑个人英雄主义，却没想到捆绑爱国主义的全能战士更加难以下咽。
4,1220696491,  喜悦姑娘的猫儿,40,15007,-1,  开篇长镜头惊险大气引人入胜结合了水平不俗的快剪下实打实的真刀真枪让人不禁热血沸腾特别弹簧床架挡炸弹空手接碎玻璃弹匣割喉等帅得飞起！就算前半段铺垫节奏散漫主角光环开太大等也不怕作为一个中国人两个小时弥漫着中国强大得不可侵犯的氛围还是让那颗民族自豪心砰砰砰跳个不停。
5,1221471992,  武侠小王子,20,6285,-1,  犯我中华者虽远必诛，一定要必诛吗？
6,1218754966,  法兰西胶片,40,11977,1,  三星半，实打实的7分。第一集在爱国主旋律内部做着各种置换与较劲，但第二集才真正显露吴京的野心，他终于抛弃李忠志了，新增外来班底让硬件实力有机会和国际接轨，开篇水下长镜头和诸如铁丝网拦截RPG弹头的细节设计都让国产动作片重新封顶，在理念上，它甚至做到《绣春刀2》最想做到的那部分。
7,1147222932,  盲匪,50,10012,1,  赵东来：达康书记，我们接到在非洲卧底的冷锋报告，丁义珍现在非洲，我们请求抓捕。李达康：东来，这件事先不要声张，特别是别让省厅知道，就你和我一起去非洲，加上冷锋同志，三人逮捕丁义珍。这次行就叫战狼2吧
8,1220457436,  二师兄,20,4758,-1,  下一部拍喜剧吧，整个片子真感觉挺搞笑的
9,1221831440,  古尔齐亚,20,4369,-1,  《血战钢锯岭》中国人也会觉得好看，因为它歌颂的宗教情怀是超越政权的；但当你只想歌颂一个政权时，很明显就低了一个层次，甚至充满了现实乃至投机的考量，高下立见
10,1220697086,  九幽第一少,40,10875,1,  这部戏让人看的热血沸腾，对吴京路转粉，最后的彩蛋，让我们没有理由不期待下一部。
11,1222579592,  张佳玮,40,5549,1,  开头的水下长对决戏可算华语电影的顶尖存在；驱逐舰、导弹和坦克在商业片里这么狂用也是了得；镜头运用和笑点插入都很好莱坞爆米花，不功不过；从头打到尾是真拼，虽然镜头也有略乱时；因为没啥期望值，所以被吴京的野心吓了一跳；吴刚、于谦和丁海峰老三位像炖烂熟的牛筋，嚼着就舒服。
12,1221200648,  格拉比,10,3824,-1,  片头海里那场动作戏看完就呆不下去了，太假太做作，提前离场。
13,1220667524,  丝米,20,3877,-1,  就是一部爽片，打戏挺燃，但是故事一般。达康书记不合适这个角色，赵东来倒是很合适。张瀚太太太违和了，分分钟穿越回偶像剧。
14,1221117241,  CobraCB,20,3203,-1,  说喜欢这部片子的人不是装傻就是真傻，要不是真的没有别的可看肯定是不会选这部的，直男癌到令人发指，所有剧情走向也完全是九十年代那套照搬，审美这件事儿真不是一时半会儿能培养出来的。
15,1219231666,  虎哥,20,2848,1,  目瞪狗呆！太瘠薄好看了！中国人牛b就是硬道理！（别再用标记日期骂我了朋友们北京时间23号晚上首映礼看的我谢谢你们啊哈哈哈哈哈
16,1220630837,  结冰,30,3350,1,  心往一处想，劲往一处使，就能实现我们的梦想。看吧，比第一部好太多了。谢谢美队的动作指导。
17,1220917607,  搬砖侠,20,2707,-1,  扪心自问这种电影真没法评价，全片靠动作戏撑完，文戏都是扯淡，女主角毫无存在的必要，故事不需要逻辑只要主角开挂，但牛逼之处在于全片都透露着极强烈的爱国主义光环和意识形态枷锁，在祖国面前，一切反动派都是纸老虎，所以战狼一个人开挂团灭一个连都是合情合理的，动作戏还不错，挺用心，两星鼓励
18,1220961216,  夜游,40,4110,1,  很用心啊吴京导演，小看你了，确实在导演上下功夫了拉片子了，知道借鉴是好的。至于大家比较反感的小粉红情绪我觉得那些桥段都是主旋律必备啊是稍微有一点过但还可以接受。最好的地方是吴京节奏掌握得很好，知道张弛有度，这点很难得。
19,1221813771,  杨清宇,20,1444,-1,  吴迪塞尔如入无人之境，7亿大陆直男在这一刻集体勃起。心往一处想，劲往一处使，你就能离开影厅不是个屌丝了？
20,1221000631,  痞影人科莱昂,20,1820,-1,  符合“有钱了续集反而拍更差”这一放之四海而皆准的规律，场面越做越大，然而伴随着各种动作场面和特效场面的升级，这一部的叙事反而变得非常凌乱。格局颇大，想拍成《黑鹰坠落》，结果撑死最多也只是官方主旋律版的《敢死队》。吴京确实有野心，但论自我角色定位能力远不如同是动作演员出身的甄子丹。
21,1221464228,  秦汧,10,1476,-1,  典型美国大片的方式，每次都能猜对剧情，没劲诶~我就想问，王牌特工就那么点杀人的镜头，还经过艺术处理，都直接删了，战狼2这种血腥屠杀的镜头，赤裸裸的，大段大段的，是怎么过的？政治正确就有庇衣了？（水军他垃圾，动不动豆油过来骂傻逼，就冲这个给一星，不服来战）
22,1210444017,  甜心,40,3337,1,  犯我中华者虽远必诛，这句话一直在我脑子里回响
23,1209799848,  浅夏安然,40,3193,1,  好看，这部戏让人看的热血沸腾，打戏挺燃的，吴京演技棒呆了
24,1188087927,  裴秀智,50,3540,1,  吴京厉害了，身为武打演员，能拍到这么高标准的大场面的枪战戏，为你点赞。热血男儿，荷尔蒙爆发！
25,1220839024,  苏筱兀,50,2756,1,  太喜欢《战狼2》开场6分钟长镜头的水下搏斗戏了！从来没有在其它任何一部电影里看到过，因为拍摄难度真的不一般，同时还对演员有各种技能方面的要求。看完片子回来搜了下，被吴京会游泳、潜水、滑雪、开飞机、开坦克、射击等各项技能，还特意去特种部队当过18个月兵…真的很佩服这样的电影人！
26,1220703226,  丢丢,40,2308, 1,  整部电影延续1的风格，热血。场面比1来的要大，打戏动作不错，吴京挺适合演军人的，电影之前的中国梦片段他都念的劲儿劲儿的。整体来说还不错，不过张翰太违和了，一出来就一股雷阵雨的画风。
27,1219636520,  我要复仇,40,2663,1,  《战狼2》的动作场景和战斗装备全线升级，热血的打斗动作从头打到尾。《战狼2》游走在电影审查红线的边界和政治安全的缝隙，是部延续了第一部极具煽动爱国情绪的国产动作大片。如此制作精良的影片，还请多来一点。
28,1220711590,  蛋蛋的忧伤,40,2417,1,  火爆的场面拍出了好莱坞大片的感觉，本片必将燃爆暑期
29,1172179536,  圣墟,30,1215,-1,  电影用的胶卷挺差的，故事过度也差，地方部队还没太多展示就死去，反正各种问题。但就是能吸引人看下去，就冲这，为什么要这么鄙视敢想敢去开拓的人，不允许他们再去拍，直到能有更好的人，拍出更棒的更出彩的电影来呢？
30,1221901397,  Yu Luan,50,1725,1,  已三刷。不明白为什么会有人说中二和吴京意淫。这种类型的电影肯定要有一个英雄人物带动情节的发展。真的好看，全场无尿点。谁会希望有战乱，一些人或群体为了自己的私人利益，发动战争，但这苦的可是手无寸铁之力的民众，祈求一个永远也实现不了的愿望：世界和平。黑子跪久了都站不起来了，5分力荐！
31,1223497848,  芦哲峰,10,996,-1,  都说吴京打得精彩，看得我无精打采。用弹簧床接火箭炮，绝对是义和团用肉身挡子弹的升级版，比局座的“雾霾防激光、海带缠潜艇”的言论更牛逼、更震撼。
32,1221751421,  阿南,20,1217,-1,  听说过夜郎自大吗？我第一次知道中国人这么牛逼。中国部队所向披靡，连特么坦克都能给你开漂移。整部电影都是吴京一个人在意淫。意淫真可怕，中国维和单凭一个视频能越过联合国长驱直入到别国领土进行作战。你当Africa是你家后院么？意淫强国，我身为天朝子民相当之荣幸。扬我国威，震我中华！
33,1220752066,  天台杀手,40,1906,1,  上一部是傲气雄鹰，这一部是第一滴血4。吴京算是国内导演对类型片感觉比较准的，作为动作片钱都花在有效地方，整体火爆流畅，有大片气魄，创作上也足够真诚。人物设计也都不错，连张翰都很可爱了。如果吴京不像当年甄子丹那样一时膨胀、在银幕上独占聚光灯，肯定可以走得更远。
41,1221353040,  frozenmoon,30,603,-1,  吴京确实很聪明，很鸡贼。在一面大旗下呈现了一出重工业娱乐电影。他一直调控着说教和娱乐的比例，娱乐多了，尺度不被允许，说教多了，大众不接纳，比例把握非常微妙。这其中还是有一些“奇侠”化的内容，比如用玻璃碴子当飞镖杀敌一类，只不过被遮盖掉了。“老爹”演过美剧《搏击王国》，力荐那部美剧
42,1221210341,  叶哭,20,1008,-1,  新时期样板戏走向全球。
43,1221909853,  鹿菏,50,1399,1,  几个网红拉出来弹弹琴你们就说燃了？彰显我大国气象荷尔蒙满屏，这TM才叫燃！！！这部电影告诉我们中国人也是可以拯救世界的！
44,1221034678,  瓦力,20,1300,-1,  无脑动作片，模仿好些国外大片再想怎样就怎样一股脑堆，槽点巨多，几位主角血厚到科幻级别，吴京重复演满血、红血、中毒、极速回血、爆种...确实很拼但片子太投机取巧，反派照搬上集辱华外国佣兵，目测《战狼3》反派依旧会千篇一律...故事不行堆再多大场面假high瞎燃也没用，《变5》不才刚玩砸么？5/10
45,1187457545,  苏浣,40,1202,1,  打戏太燃，期待3
46,1221546319,  李小丢,30,622,-1,  翻了一下我给第一部的评价是四星，当时觉得挺燃的，这部其实在完成度上更接近好莱坞的制作了，每个步骤每个人物的走向都很顺滑，没有任何出人意料的地方。只给三星是因为，看看最近现实世界的一切，抱歉我在影院里燃不起来，只是觉得一切都很魔幻，当然开头的强拆是最有现实感的一幕了。
47,1221547569,  你说这可咋办啊,10,1012,-1,  23点45分开始，1点48分结束，我看了12次手机，影厅的天花板上有8条线组合成三角形装饰，18个音响在棚顶前12个并列排放，后面6个33一组，一共24个探照灯，第12个旁边有个摄像头。另外，中国护照上没有那句话。（因为这个影评收到很多骂人豆油，改一分了。）
48,1221794202,  ylmm,10,1293,-1,  二十年前，看到这样的故事和镜头，我会被感动的哭鼻子；如今，二十年过去了，你却还拿这样的故事逻辑和镜头给我看，我只能尴尬的笑。
49,1221078140,  思郁,30,681,-1,  好莱坞总是美国总是拯救世界，国产片就是中国梦想拯救非洲
50,1223216915,  掉线,20,689,-1,  【C】剧本学好莱坞已经学的比较像样，但其他导演层面上的东西，处处呈现着一种三线城市修车工人审美，就像开场的长镜头一样，自以为华丽，反倒露拙，动作戏全是特写近景，都构建不出连贯的运动关系。这种满足直男幻想的弱智电影，小粉红看了会坚定爱国心，我这样的人看了只更想移民。
51,1222754873,  29°,10,792,-1,  尴尬癌患者不适合的片子非你莫属。
52,1220836218,  what'swilliam,30,872,-1,  3星半。1.电影结束有掌声出现，近期少见。2.一粒爱国主义大补丸，有人吃的开心，有人觉得补大了。3.从头打到尾，从白打到黑。4.从片头字幕到影片细节，完全展现了吴京作为一个超级直男的糙和猛。主角光环媲美终结者。5.达康书记无亮点，张翰变谐星。6.3D？？？7.导演的掌控能力逼近Hold不住的边缘。
53,1219254058,  舒农,20,1001,-1,  纯粹拍的很难看啊……
55,1220730763,  啪叽,50,1507,1,  燃！大场面真的不输国外大片不尴尬，吴京打戏很精彩，水下搏斗看着也很有力，必须安利一下张翰，这角色简直就是个彩蛋啊，承包所有笑点，为他量身定做的哈哈哈，彭于晏可演不来。是真的好看
